RMSE,NSE,PBIAS,KGE,split,run_id,dynamic_group,static_group,loss_name,frequency
1.0842995425663808,0.7339934107442836,-0.5935831095111357,0.7873851732642241,test,ohio_daily_lumped_hydro_skill_core,era5_core,static_base,hydro_skill,daily
1.142669233699773,0.7045833874331568,5.185765137033149,0.7154015534297344,test,lumped_hydro_skill,era5_full_selected,static_base,hydro_skill,daily
1.164883033064203,0.692985784459033,5.908419684423463,0.7003071679666925,test,lumped_rmse,era5_full_selected,static_base,rmse,daily
1.2216928905598443,0.6703488217206891,3.858967453429824,0.6931480826584691,test,ohio_daily_semidistributed_core,era5_core,static_base,hydro_skill,daily
1.2820159853279025,0.6369909770316345,4.535040985348875,0.6949140508468259,test,semidistributed_batched_long_v2,era5_full_selected,static_base,hydro_skill,daily
31.518619707089357,0.3875523154635758,10.053256183594732,0.3763673428596562,test,ohio_monthly_lumped_hydro_skill_core_h12,era5_core,static_base,hydro_skill,monthly
31.820583491314583,0.3757610050750222,12.637034704765256,0.4125654408359388,test,ohio_monthly_lumped_rmse_full_h12,era5_full_selected,static_base,rmse,monthly
32.0450746614743,0.3669220429609042,12.935028309839955,0.383281321588593,test,ohio_monthly_lumped_hydro_skill_core_snow_h12,era5_core_plus_snow,static_base,hydro_skill,monthly
32.35096394187738,0.3547781473176595,16.23390853641799,0.3796019492955638,test,ohio_monthly_lumped_hydro_skill_full_h12,era5_full_selected,static_base,hydro_skill,monthly
32.60648330114776,0.3445455148468125,17.98677742479549,0.3638757481329551,test,ohio_monthly_lumped_hydro_balance_full_h12,era5_full_selected,static_base,hydro_balance,monthly
32.616713565283824,0.3441341534393718,15.890635147459156,0.3810925054111219,test,ohio_monthly_lumped_hydro_skill_core_wb_h12,era5_core_plus_water_balance,static_base,hydro_skill,monthly
34.36612943393563,0.3079178917617179,7.088462314355138,0.3031653849304735,test,ohio_monthly_distributed_core_h12_min,era5_core,static_base,hydro_skill,monthly
34.77368213023018,0.2566785608566636,23.13639345220789,0.3157795827419274,test,ohio_monthly_semidistributed_core_h12,era5_core,static_base,hydro_skill,monthly
